"Title
All rights reserved. The book tags, ratings, classifications, and content-flagging methodology developed by RatedBooks.org constitute proprietary intellectual property. No person or organization may copy, scrape, extract, reproduce, adapt, aggregate, commercialize, or use this data for resale, subscription products, district-level services, or derivative works without the prior written permission of RatedBooks.org. Unauthorized commercial use is strictly prohibited and may result in legal action.",Author,Rating
"Kiss Now, Lie Later",C.W. Farnsworth,4
Kingdom of Ash,Sarah J. Maas,4
Kendra,Coe Booth,4
Keeping 13,Chloe Walsh,4
Jesus Land: A Memoir,Julia Scheeres,4
It Starts With Us,Colleen Hoover,4
It Ends With Us,Colleen Hoover,4
Infandous,Elana K. Arnold,4
Identical,Ellen Hopkins,4
Icebreaker: A Novel (The Mapel Hills Series Book 1),Hannah Grace,4
I'm Glad My Mom Died,Jennette McCurdy,4
I Never,Laura Hopper,4
I am the Swarm,Hayley Chewins,4
House of Sky and Breath,Sarah J. Maas,4
House of Earth and Blood,Sarah J. Maas,4
Homegoing,Yaa Gyasi,4
Heavy Hitter,Katie Cotugno,4
Heart Bones,Colleen Hoover,4
Happy Place,Emily Henry,4
Half of a Yellow Sun,Chimamanda Ngozi Adichie,4
Grim and Oro,Alex Aster,4
Grace and Glory,Jennifer Armentrout,4
Girl Parts,John M. Cusick,4
"Get a Life, Chloe Brown",Talia Hibbert,4
From Here to You,Jamie McGuire,4
From Blood and Ash,Jennifer L. Armentrout,4
Four Seconds to Lose,K.A. Tucker,4
"For Now, Not Forever",C.W. Farnsworth,4
Five Ways to Fall,K.A. Tucker,4
Firefly Lane,Kristin Hannah,4
Exit Here,Jason Myers,4
Every Summer After,Carley Fortune,4
Every Last Breath,Jennifer Armentrout,4
Etched in Sand: A True Story of Five Siblings Who Survived an Unspeakable Childhood on Long Island,Regina Calcaterra,4
Empire of Storms,Sarah J. Maas,4
"Eat, Pray, Love",Elizabeth Gilbert,4
Did I Mention I Need You,Estelle Maskame,4
Darkly Dreaming Dexter,Jeff Lindsay,4
Damsel,Elana Arnold,4
Damned,Chuck Palahniuk,4
Crowntide,Alex Aster,4
Consider This,Chuck Palahniuk,4
Collateral,Ellen Hopkins,4
Clash,Nicole Williams,4
Catch the Sun,Jennifer Hartmann,4
Burying Water,K.A. Tucker,4
Bruja Born,Zoraida Cordova,4
Bronxwood,Coe Booth,4
Broken Prince,Erin Watt,4
Brave New World (Book),Aldous Huxley,4
Brave,Tammara Webber,4
Boy Toy,Barry Lyga,4
Book Lovers,Emily Henry,4
Blood and Honey ,Shelby Mahurin,4
Blazed,Jason Myers,4
Blankets,Craig Thompson,4
Beautiful Sacrifice,Jamie McGuire,4
Beautiful Redemption,Jamie McGuire,4
Beautiful Disaster,Jamie McGuire,4
Beautiful,Amy Reed,4
Bad Girl Reputation,Elle Kennedy,4
Ashes,Ilsa J. Bick,4
As She Fades,Abbi Glines,4
Anatomy of a Single Girl,Daria Snadowsky,4
Anatomy of a Boyfriend,Daria Snadowsky,4
Americanah,Chimamanda N Adichie,4
All Your Perfects,Colleen Hoover,4
All This Twisted Glory,Tahereh Mafi,4
All the Light We Cannot See , Anthony Doerr,4
All Boys Aren't Blue,George M. Johnson,4
After,Amy Efaw,4
Adjustment Day,Chuck Palahniuk,4
A Soul of Ash and Blood,Jennifer Armentrout,4
A Sin Such as This,Ellen Hopkins,4
A Shadow in the Ember,Jennifer Armentrout,4
A Light in the Flame,Jennifer L Armentrout,4
A Kingdom of Flesh and Fire,Jennifer L. Armentrout,4
A Gathering of Old Men,Ernest J Gaines,4
A Game of Thrones: the graphic novel volume 4,George R. R. Martin adapted by Daniel Abraham,4
A Game of Thrones: the graphic novel volume 1,George R. R. Martin adapted by Daniel Abraham,4
A Court of Wings and Ruin,Sarah J. Maas,4
A Court of Thorns and Roses,Sarah J. Maas,4
A Court of Silver Flames,Sarah J. Maas,4
A Court of Mist and Fury,Sarah J. Maas,4
A Court of Frost and Starlight,Sarah J. Maas,4
A Clash of Kings,George R. R. Martin,4
A Beautiful Funeral,Jamie McGuire,4
99 Days,Katie Cotugno,4
2024: A Graphic Novel,Ted Rall,4
1001 Dark Nights: The Queen: A Wicked Novella,Jennifer L. Armentrout,4
9-Nov,Colleen Hoover,4
11/22/1963,Stephen King,4
A Book of Horrors,Stephen Jones,4
A Tree Grows in Brooklyn,Betty Smith,4
Bad Girls with Perfect Faces, Lynn Weingarten,4
My Heart is a Chainsaw,Stephen Graham Jones,4
Pretty Little Liars: A Novel,Sara Shepard,4
Rage,Cora Carmack,4
The Revenge Game ,Jordyn Taylor,4
Why Fish Donâ€™t Exist,Lulu Miller,4
We Are Not Broken: A Memoir,George M Johnson,3
Love in 280 Characters or Less,Ravynn K Stringfield,3
Flor Fights Back : A Stonewall Riots Survival Story,Joy Michael Ellison,3
Angry Girls Will Get Us Through,Rebecca Traister,3
You Too?,Janet Gurtler,3
"You Know Sex: Bodies, Gender, Puberty, and Other Things!",Cory Silverberg and Fiona Smyth,3
Without Merit,Colleen Hoover,3
